comments,reaction_type
"আগের জীবনে অনেক পূণ্য করেছিলাম বলে এই জীবনে আদিপুরুষ দেখতে যেতে হয়নি,যতবারই যাওয়ার প্ল্যান করেছি ততবারই কেটে গেছে,খুব খুশী আমি",negative
এটার সেকেন্ড পার্ট চাই দিদি। আজ শুধু রাবণের রোস্ট দেখে মন ভরছে না যে,negative
রাবণের ব্যাটা কিন্তু যথেষ্ঠ   করে,negative
বিভীষণ আবার আমার লাল কালো শাড়িটা ঝেঁপে দিয়েছে ছিলো দি,negative
সত্যি দিদি হাসতে হাসতে পেট ব্যথা হয়ে গেলো আর কবিতা গুলো সেই ছিলো,positive
"আমার তো  দেখার শখ মিটিয়ে দিলে তুমি ভাই..... সেরা তুমি, সেরা তোমার কাজ, সেরা তোমার কবিতা.... কি করে যে আমাকে    থেকে হাসতে হাসতে পেটে ব্যথা ধরিয়ে দিলে ভাই ....",positive
অনেক দিন পরে মন খুলে হাসলাম আজ কবিতা গুলোর কোন তুলনা হবে না,positive
রাবণ এর আসলে দশটা মাথা ছিল না। দশটা মাথা মানে সে এতটাই বুদ্ধিমান ছিল যে তার বুধিমত্তাকে দশটা মাথার সঙ্গে তুলনা করা হয়েছে। বাল্মীকি রামায়ণ এ এটাই বলা হয়েছে।,negative
"রাবণের দশটা  মাথা  ইঁট এর মত করে সাজানো হয়েছে তার পরে মাথার  গুলো       এইভাবে আমাদের হাসানোর জন্য,চালিয়ে যাও এইভাবেই",negative
ভাবছিলাম তুমি কবে  করবে  তোমার  এর জন্যই বসে থাকি। তোমার কবিতা রাবণের মুখের সাথে একদম মিলে গেছে,negative
আমার মতো কে কে চাইছিল দিদির কাছ থেকেই আদিপুরুষের রোস্ট ভিডিওটা ?,neutral
দাত কেলানো বাদুড় ভাড়া করেছে,negative
"আদিপুরুষ নিয়ে সব থেকে বেস্ট রোস্ট দিদি।।  রাবণ এর গান -- ""মন তোকে দিলাম"" এপিক",negative
কবিতা গুলো শুনে সত্যিই হেসে হেসে খিল ধরে গেল পেটে  আর রাবণের মাথা গুলি সাজানোর যা আইডিয়া দিয়েছো না দিদিভাই  কোন  তে ওরা রাবণের মাথা গুলি এই ভাবেই সাজাবে,positive
যারা হলে গিয়ে     দেখে  নিজেদের বরবাদ করে এসেছে।,negative
রাবণ নিজেকে দেখে অজ্ঞান হয়ে গেছে,negative
সত্যি কথা বলতে এতদিন ধরে এই সিনেমার রোষ্ট ভিডিও তোমার থেকেই দেখতে চাইছিলাম  আসলে হিন্দি কমিউনিটি থেকে অনেকেই 'আদিপুরূষ' এর রোস্টিং করেছে তবে আমরা বাঙালি তো তাই একটু বাংলায় খিস্তি করে রোস্টিং টা শুনতে বড্ড ইচ্ছে ছিল,positive
"রাবণের দশটা মাথা কখনোই ছিল না।  আসলে সে একসাথে দশদিক সামলাতে পারতো তাই বলা হয় রাবণের দশটা মাথা, কিন্তু রাবণের মাথা একটা",negative
লঙ্কেশ্বর কম নাগেশ্বর বেশি কথাটা বেষ্ট ছিলো,negative
রাবনের পার্সোনাল যানবাহন নেই শুনে আমি প্রায় 15 মিনিট হেসেছি,negative
"অনেকদিন অপেক্ষা করতে হল দিদি, কবিতাগুলো সেই ছিল..  2 চাই",positive
রাবণ আবার কবে থেকে টি-শার্ট পরতে শুরু করলো তাও আবার কালো রংয়ের রাবণ যদি দেখতো এককাপ জলেসত্যিই ডুবে মরতো,negative
